name,genres,popularity
San Holo,"['brostep', 'edm', 'electro house', 'electronic trap', 'future bass', 'pop dance']",57
K-391,"['gaming edm', 'nordic house']",65
VINAI,"['dutch house', 'edm', 'electro house', 'melbourne bounce international', 'pop dance', 'progressive electro house', 'slap house']",67
Nicky Romero,"['big room', 'dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",64
Mr. Belt & Wezol,"['dutch edm', 'house']",67
The Magician,"['belgian edm', 'house', 'nu disco']",65
KSHMR,"['big room', 'dutch house', 'edm', 'electro house', 'indian edm', 'pop dance', 'progressive electro house', 'slap house']",65
Audien,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",55
Dubdogz,"['brazilian bass', 'brazilian edm']",68
Yellow Claw,"['dutch house', 'edm', 'electro house', 'pop dance']",61
Axwell,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",64
DVBBS,"['canadian electronic', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",60
What So Not,"['aussietronica', 'brostep', 'edm', 'electro house', 'electronic trap', 'escape room', 'vapor twitch']",56
Martin Solveig,"['disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'vocal house']",63
Groove Dealers,"['memphis phonk', 'russian edm']",61
William Black,"['melodic dubstep', 'pop edm']",54
Jack Ü,"['edm', 'electro house', 'pop dance']",60
twocolors,"['edm', 'pop dance', 'pop edm']",66
Madeon,"['complextro', 'edm', 'electro house', 'electropop', 'filter house', 'nantes indie', 'pop dance']",56
Öwnboss,['brazilian edm'],64
Mako,['pop edm'],61
NERO,"['complextro', 'edm', 'electro house', 'melodic dubstep']",57
Surf Mesa,['pop edm'],61
Bassnectar,"['bass music', 'breakbeat', 'brostep', 'edm', 'glitch hop']",53
Cartoon,['gaming edm'],62
Nevve,['pop edm'],55
Lucas Estrada,"['deep pop edm', 'swedish tropical house']",64
Dash Berlin,"['big room', 'dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive electro house', 'progressive house', 'trance', 'uplifting trance']",63
CVBZ,"['dark r&b', 'pop edm']",54
Adventure Club,"['brostep', 'canadian electronic', 'complextro', 'edm', 'electro house', 'filthstep', 'pop dance']",53
Matthew Koma,['pop edm'],57
