name,genres,popularity
Lifehouse,"['neo mellow', 'pop rock', 'post-grunge']",65
Collective Soul,"['alternative rock', 'grunge', 'nu metal', 'pop rock', 'post-grunge', 'rock']",63
Hootie & The Blowfish,"['pop rock', 'post-grunge']",62
Hoobastank,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge']",68
Hinder,"['alternative metal', 'nu metal', 'post-grunge']",63
AFI,"['alternative metal', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'screamo']",62
Escape the Fate,"['alternative metal', 'metalcore', 'neon pop punk', 'pixie', 'pop punk', 'post-grunge', 'screamo']",63
In This Moment,"['alternative metal', 'nu metal', 'post-grunge']",62
Stone Sour,"['alternative metal', 'nu metal', 'post-grunge']",65
Of Mice & Men,"['alternative metal', 'melodic metalcore', 'metalcore', 'pop punk', 'post-grunge']",62
Blind Melon,"['alternative metal', 'alternative rock', 'grunge', 'pop rock', 'rock']",62
Hole,"['alternative rock', 'grunge', 'riot grrrl']",63
Rob Thomas,"['neo mellow', 'pop rock', 'post-grunge']",62
My Darkest Days,"['alternative metal', 'post-grunge']",60
Barenaked Ladies,"['canadian pop', 'canadian rock', 'pop rock', 'post-grunge']",60
Everclear,"['alternative metal', 'alternative rock', 'nu metal', 'permanent wave', 'pop rock', 'post-grunge']",59
Highly Suspect,"['modern alternative rock', 'modern rock', 'post-grunge']",60
10 Years,"['alternative metal', 'nu metal', 'post-grunge']",59
From Ashes to New,"['post-grunge', 'rap rock']",61
Buckcherry,"['alternative metal', 'glam metal', 'hard rock', 'nu metal', 'post-grunge', 'sleaze rock']",59
Trapt,"['alternative metal', 'nu metal', 'post-grunge']",59
Live,"['grunge', 'pop rock', 'post-grunge']",62
New Medicine,['post-grunge'],60
All That Remains,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge']",59
Primus,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'grunge', 'nu metal']",59
The Presidents Of The United States Of America,"['alternative rock', 'grunge', 'pop rock']",59
Everlast,['post-grunge'],60
Blues Traveler,"['jam band', 'pop rock', 'post-grunge']",57
Atreyu,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge', 'screamo']",59
Trivium,"['alternative metal', 'groove metal', 'melodic metalcore', 'melodic thrash', 'metal', 'metalcore', 'nu metal', 'post-grunge']",62
julie,"['grungegaze', 'zoomergaze']",58
White Zombie,"['alternative metal', 'hard rock', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",57
Pop Evil,"['alternative metal', 'nu metal', 'post-grunge']",57
Gin Blossoms,"['permanent wave', 'pop rock', 'post-grunge', 'tempe indie']",57
Marcy Playground,"['alternative rock', 'grunge', 'pop rock', 'post-grunge']",57
Fuel,"['alternative metal', 'nu metal', 'post-grunge']",57
Spin Doctors,"['pop rock', 'post-grunge']",61
Static-X,"['alternative metal', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rap metal']",59
Alien Ant Farm,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge']",61
Eddie Vedder,"['acoustic rock', 'grunge', 'permanent wave']",63
Saving Abel,"['alternative metal', 'nu metal', 'post-grunge']",56
The Wallflowers,"['pop rock', 'post-grunge']",58
Danzig,"['alternative metal', 'groove metal', 'grunge', 'hard rock', 'industrial rock', 'metal', 'nu metal', 'punk']",59
Candlebox,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'post-grunge']",55
Chris Cornell,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'post-grunge', 'rock']",60
Semisonic,"['pop rock', 'post-grunge']",59
Glare,"['atlanta indie', 'grungegaze', 'nu gaze', 'texasgaze', 'zoomergaze']",57
Adelitas Way,"['alternative metal', 'christian rock', 'post-grunge']",57
Jane's Addiction,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'grunge', 'nu metal', 'permanent wave', 'rock']",56
Faith No More,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",62
Fleshwater,"['grungegaze', 'zoomergaze']",55
Tonic,"['pop rock', 'post-grunge']",55
Whirr,"['american shoegaze', 'dreamgaze', 'dreamo', 'grungegaze', 'indie shoegaze', 'nu gaze', 'shoegaze', 'zoomergaze']",56
Crazy Town,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap rock']",61
SICK PUPPIES,"['alternative metal', 'nu metal', 'post-grunge']",57
Badflower,"['modern alternative rock', 'post-grunge']",55
Alter Bridge,"['alternative metal', 'nu metal', 'post-grunge']",60
Temple Of The Dog,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'rock', 'supergroup']",56
HELLYEAH,"['alternative metal', 'groove metal', 'industrial metal', 'nu metal', 'post-grunge', 'southern metal']",54
Eve 6,"['alternative metal', 'pop rock', 'post-grunge']",53
Filter,"['alternative metal', 'alternative rock', 'grunge', 'industrial metal', 'nu metal', 'post-grunge']",54
Red,"['alternative metal', 'christian alternative rock', 'christian rock', 'post-grunge']",55
Sixx:A.M.,"['alternative metal', 'post-grunge']",55
Local H,"['alternative rock', 'grunge', 'post-grunge']",52
Silverchair,"['alternative metal', 'alternative rock', 'australian alternative rock', 'australian psych', 'australian rock', 'grunge', 'nu metal', 'post-grunge']",59
Balance And Composure,"['alternative emo', 'anthem emo', 'dreamo', 'emo', 'grungegaze', 'philly indie', 'pop punk', 'progressive post-hardcore']",52
Evans Blue,"['alternative metal', 'canadian rock', 'christian rock', 'nu metal', 'post-grunge']",54
Butthole Surfers,"['alternative rock', 'experimental rock', 'grunge', 'noise rock', 'psychedelic punk', 'punk']",52
Toadies,"['alternative rock', 'grunge', 'pop rock', 'post-grunge']",50
Harvey Danger,"['pop rock', 'post-grunge']",51
Seven Mary Three,"['alternative metal', 'nu metal', 'post-grunge']",50
Soul Asylum,"['alternative rock', 'grunge', 'permanent wave', 'pop rock', 'post-grunge']",57
Sister Hazel,"['neo mellow', 'pop rock', 'post-grunge']",51
Better Than Ezra,"['pop rock', 'post-grunge']",50
Narrow Head,"['american shoegaze', 'dreamo', 'grungegaze', 'spacegrunge', 'texasgaze']",51
Corey Taylor,"['alternative metal', 'alternative rock', 'nu metal', 'post-grunge']",55
Vertical Horizon,"['neo mellow', 'pop rock', 'post-grunge']",52
Black Stone Cherry,"['alternative metal', 'modern hard rock', 'post-grunge']",54
Shaman's Harvest,['post-grunge'],51
Fastball,"['pop rock', 'post-grunge']",51
Cold,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge']",50
Saint Asonia,"['alternative metal', 'post-grunge']",51
Our Lady Peace,"['canadian rock', 'post-grunge']",54
Velvet Revolver,"['alternative metal', 'alternative rock', 'glam metal', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rock', 'supergroup']",54
Kurt Cobain,"['acoustic rock', 'grunge']",53
Helmet,"['alternative metal', 'alternative rock', 'groove metal', 'grunge', 'industrial metal', 'industrial rock', 'nu metal', 'post-hardcore']",51
Days Of The New,"['alternative metal', 'grunge', 'nu metal', 'post-grunge']",49
Egypt Central,"['christian rock', 'post-grunge', 'rap rock']",52
Mad Season,"['alternative metal', 'alternative rock', 'blues rock', 'grunge', 'supergroup']",51
Smile Empty Soul,"['alternative metal', 'nu metal', 'post-grunge']",48
Orgy,"['alternative metal', 'electronic rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge']",50
Cracker,"['alternative rock', 'permanent wave', 'pop rock', 'post-grunge']",48
Spacehog,"['glam rock', 'pop rock', 'post-grunge']",50
Hum,"['countrygaze', 'dreamo', 'grungegaze', 'post-hardcore', 'spacegrunge']",47
Rev Theory,"['alternative metal', 'nu metal', 'post-grunge', 'rebel blues']",51
TRUSTcompany,"['alabama metal', 'nu metal', 'post-grunge']",48
Kyuss,"['alternative metal', 'grunge', 'palm desert scene', 'sludge metal', 'stoner metal', 'stoner rock']",52
Veruca Salt,"['alternative pop', 'alternative rock', 'grunge', 'lilith', 'riot grrrl']",47
Melvins,"['alternative metal', 'alternative rock', 'grunge', 'post-hardcore', 'punk', 'sludge metal', 'stoner metal']",49
The Verve Pipe,"['pop rock', 'post-grunge']",47
Default,"['alternative metal', 'canadian rock', 'post-grunge']",47
Meat Puppets,"['alternative rock', 'cowpunk', 'grunge', 'punk']",46
Crash Test Dummies,"['canadian rock', 'pop rock', 'post-grunge']",53
L7,"['alternative rock', 'grunge', 'punk', 'riot grrrl']",48
Tantric,"['alternative metal', 'nu metal', 'post-grunge']",44
Dishwalla,"['pop rock', 'post-grunge']",49
Split Chain,"['grungegaze', 'zoomergaze']",46
