name,genres,popularity
Vicetone,"['edm', 'electro house', 'pop dance', 'progressive electro house']",64
Barry Can't Swim,['jazz house'],65
Above & Beyond,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",62
Rampa,"['deep disco house', 'melodic house']",67
GAMPER & DADONI,"['german dance', 'pop dance', 'tropical house']",67
Matoma,"['pop dance', 'tropical house']",63
Modjo,"['disco house', 'filter house']",64
AlunaGeorge,"['electropop', 'house', 'uk dance']",62
Never Dull,['funky house'],65
A-Trak,"['canadian electronic', 'edm', 'electro house', 'electronic trap', 'fidget house', 'house', 'turntablism']",62
CamelPhat,"['deep tech house', 'house', 'progressive house', 'uk dance']",67
Disciples,"['house', 'pop dance', 'uk dance']",66
GEE LEE,['rally house'],63
LUM!X,"['melbourne bounce international', 'slap house']",68
Chromeo,"['alternative dance', 'dance rock', 'filter house', 'indietronica', 'neo-synthpop', 'new rave', 'nu disco']",62
Sammy Virji,"['bass house', 'old school bassline']",64
ANOTR,['dutch tech house'],66
Gorgon City,"['future garage', 'house', 'pop dance', 'uk dance']",63
LP Giobbi,['house'],61
Sidewalks and Skeletons,"['wave', 'witch house']",63
Kenny Dope,"['deep house', 'pop dance', 'soulful house']",65
SIDEPIECE,"['bass house', 'edm', 'house', 'tech house']",61
Axwell /\ Ingrosso,"['edm', 'pop dance', 'progressive electro house']",66
Jitwam,"['indie jazz', 'indie soul', 'lo-fi house']",62
Odd Mob,"['aussietronica', 'bass house', 'tech house']",61
Flux Pavilion,"['brostep', 'classic dubstep', 'complextro', 'edm', 'electro house']",58
Cash Cash,"['dance pop', 'edm', 'electro house', 'electropowerpop', 'pop dance']",60
ACRAZE,"['pop dance', 'tech house']",65
Vandelux,['stutter house'],60
Crystal Waters,['diva house'],65
NEIMY,"['scandipop', 'tropical house']",63
Eric Prydz,"['edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",66
Helsloot,"['house', 'melodic house']",65
Matroda,"['bass house', 'electro house', 'tech house']",59
San Holo,"['brostep', 'edm', 'electro house', 'electronic trap', 'future bass', 'pop dance']",57
K-391,"['gaming edm', 'nordic house']",65
Niklas Dee,"['hypertechno', 'slap house']",70
VINAI,"['dutch house', 'edm', 'electro house', 'melbourne bounce international', 'pop dance', 'progressive electro house', 'slap house']",67
Deepend,"['deep house', 'tropical house']",66
Nicky Romero,"['big room', 'dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",64
Mr. Belt & Wezol,"['dutch edm', 'house']",67
Braaheim,"['covertronica', 'hypertechno', 'slap house']",67
The Magician,"['belgian edm', 'house', 'nu disco']",65
KSHMR,"['big room', 'dutch house', 'edm', 'electro house', 'indian edm', 'pop dance', 'progressive electro house', 'slap house']",65
Besomorph,"['alt z', 'dark r&b', 'slap house', 'traprun']",63
Audien,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",55
Mike Perry,"['pop dance', 'swedish tropical house']",63
Sante Sansone,['italian tech house'],64
&ME,"['deep disco house', 'melodic house']",66
Yellow Claw,"['dutch house', 'edm', 'electro house', 'pop dance']",61
Axwell,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",64
Broiler,"['nordic house', 'norwegian hip hop', 'norwegian pop', 'russelater']",65
Alan Braxe,"['electrofox', 'filter house']",62
DVBBS,"['canadian electronic', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",60
Sultan + Shepard,"['canadian electronic', 'melodic house', 'progressive house']",59
Thomas Bangalter,['filter house'],62
What So Not,"['aussietronica', 'brostep', 'edm', 'electro house', 'electronic trap', 'escape room', 'vapor twitch']",56
Martin Solveig,"['disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'vocal house']",63
Dombresky,"['bass house', 'electro house', 'house', 'tech house']",59
VIZE,"['german dance', 'slap house']",67
Hayden James,"['aussietronica', 'gauze pop', 'house']",60
Benjamin Diamond,['filter house'],62
Stardust,['filter house'],61
Cloonee,['tech house'],61
Jack Ü,"['edm', 'electro house', 'pop dance']",60
Madeon,"['complextro', 'edm', 'electro house', 'electropop', 'filter house', 'nantes indie', 'pop dance']",56
Chris Lorenzo,"['bass house', 'house', 'tech house']",59
Kx5,['melodic house'],57
Armand Van Helden,"['big beat', 'classic house', 'deep house', 'disco house', 'filter house', 'house', 'speed garage', 'uk dance', 'vocal house']",64
Francis Mercier,['melodic house'],64
Parra for Cuva,"['deep euro house', 'downtempo', 'new french touch']",62
NERO,"['complextro', 'edm', 'electro house', 'melodic dubstep']",57
Jan Blomqvist,"['deep euro house', 'melodic house']",63
Madism,"['covertronica', 'tropical house']",63
Anthony Keyrouz,"['arab electronic', 'hypertechno', 'slap house']",65
Marnik,"['dutch house', 'hypertechno']",65
IC3PEAK,"['russian witch house', 'witch house']",59
Nora En Pure,"['deep house', 'electra', 'house', 'melodic house', 'progressive house', 'swiss pop']",60
Lucas Estrada,"['deep pop edm', 'swedish tropical house']",64
Dash Berlin,"['big room', 'dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive electro house', 'progressive house', 'trance', 'uplifting trance']",63
Marlon Hoffstadt,['deep euro house'],64
Adventure Club,"['brostep', 'canadian electronic', 'complextro', 'edm', 'electro house', 'filthstep', 'pop dance']",53
Eli Brown,"['house', 'tech house', 'uk dance']",62
HVME,['slap house'],62
SNAP!,"['diva house', 'eurodance', 'german techno', 'hip house']",63
Nightcrawlers,"['disco house', 'hip house', 'vocal house']",63
MC Hammer,"['hip hop', 'hip house', 'miami bass']",58
Bob Moses,"['canadian electronic', 'canadian house']",57
Noizu,"['bass house', 'house', 'tech house']",57
Boris Brejcha,"['german house', 'german techno', 'high-tech minimal', 'minimal techno']",65
Kill The Noise,"['brostep', 'complextro', 'edm', 'electro house', 'fidget house', 'filthstep']",55
LIZOT,"['big room', 'german dance', 'hypertechno', 'slap house']",66
Technotronic,"['eurodance', 'hip house', 'new beat', 'synthpop']",60
Kayzo,"['brostep', 'speed house']",54
MOTi,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",59
Boys Noize,"['alternative dance', 'dance-punk', 'electro house', 'fidget house', 'filter house', 'german dance', 'german techno', 'new rave']",58
Tujamo,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house']",61
Blasterjaxx,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",62
Steve Angello,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",63
Darius,"['filter house', 'indie soul', 'nu disco']",58
Dzeko,"['canadian electronic', 'dutch house', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house']",58
MoBlack,['afro house'],65
Sebastian Ingrosso,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",61
Showtek,"['classic hardstyle', 'dutch house', 'edm', 'electro house', 'euphoric hardstyle', 'melbourne bounce', 'pop dance', 'progressive electro house']",63
Eliza Rose,['house'],61
Tungevaag,"['big room', 'nordic house']",64
Tchami,"['bass house', 'brostep', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",56
Bassjackers,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",62
Biscits,"['bass house', 'house', 'tech house', 'uk tech house']",58
Lookas,"['brostep', 'electro house', 'electronic trap']",57
Route 94,"['house', 'uk dance']",62
J. Worra,"['bass house', 'house', 'tech house']",57
Krewella,"['edm', 'electra', 'electro house', 'pop dance']",55
Klangkarussell,"['austrian pop', 'deep euro house']",62
Quarterhead,['tech house'],62
Nitefreak,['afro house'],63
Young MC,"['hip house', 'miami bass']",52
Claptone,"['german house', 'german techno', 'progressive house']",63
Corona,"['diva house', 'eurodance', 'europop', 'hip house']",62
BICEP,"['ambient house', 'electronica']",62
RuPaul,"['diva house', 'strut']",56
Brendan Mills,"['saxophone house', 'tropical house']",62
Jend,['stutter house'],61
Dr. Fresch,"['bass house', 'electro house']",54
Eli & Fur,"['melodic house', 'progressive house']",58
ARTY,"['big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'russian edm']",55
Keanler,"['melodic house', 'tropical house']",58
Interplanetary Criminal,"['breaks', 'experimental house']",60
Jamie Jones,"['deep disco house', 'deep house', 'house', 'minimal techno', 'uk tech house']",59
Thierry Von Der Warth,['tropical house'],64
Le Youth,"['house', 'melodic house', 'nu disco', 'uk dance']",54
Gareth Emery,"['edm', 'pop dance', 'progressive electro house', 'progressive house', 'trance']",58
Bingo Players,"['big room', 'dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'progressive house']",60
Jauz,"['brostep', 'edm', 'electro house']",54
Proyecto Uno,"['latin house', 'salsa', 'tropical']",60
SRTW,"['chill house', 'pop edm']",63
Ummet Ozcan,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",60
Deep Chills,['tropical house'],61
Kris Kross Amsterdam,"['dutch house', 'dutch pop']",65
Dr. Alban,"['eurodance', 'europop', 'hip house']",64
Maz,['melodic house'],62
Obskür,"['irish electronic', 'rally house']",59
Kronan,['saxophone house'],60
Westend,"['bass house', 'tech house']",57
Nora Van Elken,['tropical house'],59
Nils Hoffmann,"['deep euro house', 'deep minimal techno', 'melodic house']",57
Aaron Hibell,"['stutter house', 'uk dance']",58
C & C Music Factory,"['diva house', 'eurodance', 'freestyle', 'hip house']",56
Luca,['chill house'],60
Lucas & Steve,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",60
Tritonal,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance']",53
Wax Motif,"['bass house', 'electro house', 'tech house']",53
Robin S,['diva house'],60
Yaeji,"['alternative r&b', 'art pop', 'escape room', 'experimental house']",53
Sosa UK,['tech house'],58
Rolipso,['slap house'],62
Jason Ross,"['dubstep', 'melodic dubstep', 'pop edm', 'progressive house', 'progressive trance']",50
Alex Gaudino,"['disco house', 'vocal house']",61
Adriatique,"['deep disco house', 'melodic house', 'melodic techno', 'swiss house']",60
Carnage,"['dutch house', 'edm', 'electro house', 'electronic trap', 'viral trap']",52
Party Favor,"['brostep', 'edm', 'electro house', 'electronic trap']",52
Knife Party,"['australian dance', 'brostep', 'complextro', 'edm', 'electro house', 'moombahton']",54
3LAU,"['edm', 'electro house', 'mashup', 'pop dance', 'progressive electro house', 'progressive house']",52
Ship Wrek,"['bass house', 'stutter house', 'tech house']",52
DubVision,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",56
Deee-Lite,['hip house'],54
LOSTBOYJAY,['rally house'],57
MELON,['slap house'],59
Breakbot,"['filter house', 'funktronica', 'nu disco']",56
Freedom Williams,['hip house'],55
Monolink,"['deep euro house', 'livetronica']",60
piri,['rally house'],54
Will Sparks,"['big room', 'dutch house', 'melbourne bounce', 'melbourne bounce international', 'progressive electro house']",59
Miami Horror,"['alternative dance', 'australian dance', 'australian electropop', 'electroclash', 'filter house', 'indietronica', 'neo-synthpop', 'nu disco']",54
Honey Dijon,['garage house'],56
Master KG,"['bolobedu house', 'south african house']",63
Fox Stevenson,"['complextro', 'dancefloor dnb', 'electro house']",55
TJR,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'moombahton', 'progressive electro house', 'uk garage']",55
Yann Muller,['tropical house'],62
Jean Tonique,"['filter house', 'indie soul', 'new french touch', 'nu disco']",58
Curbi,"['dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']",54
Max Styler,"['brostep', 'tech house']",53
Torren Foot,['australian house'],55
Tobiahs,"['aussietronica', 'stutter house']",58
The Avener,"['deep euro house', 'new french touch']",61
Forester,['stutter house'],52
Alle Farben,"['deep euro house', 'german dance']",63
Todd Terry,"['classic house', 'deep house', 'diva house', 'garage house', 'hip house', 'nyc club']",59
Endor,"['deep groove house', 'scottish rock']",57
Baauer,"['electro house', 'electronic trap']",52
Morgan Page,"['edm', 'electro house', 'pop dance', 'progressive house']",52
Y.V.E. 48,"['chill house', 'deep tropical house', 'tropical house']",58
Klingande,"['deep house', 'pop dance', 'tropical house']",59
Tone-Loc,"['freestyle', 'hip house', 'miami bass']",50
Otto Knows,"['edm', 'electro house', 'pop dance', 'progressive electro house']",58
Crookers,['fidget house'],62
Mauve,['chill house'],59
Horizon Blue,"['chill house', 'tropical house']",60
Shermanology,"['dutch house', 'tech house']",56
Toby Rose,['tropical house'],60
Good Times Ahead,"['brostep', 'dutch house', 'edm', 'electro house', 'electronic trap', 'pop dance']",54
Laidback Luke,"['big room', 'dutch edm', 'dutch house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'progressive house']",58
Paradigm,"['covertronica', 'hypertechno', 'slap house']",60
Real McCoy,"['diva house', 'eurodance', 'german techno', 'hip house']",56
Yves V,"['belgian edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'slap house']",58
prod. DTM,['rally house'],54
Martin Ikin,"['bass house', 'house', 'tech house']",54
Yotto,"['finnish edm', 'melodic house', 'progressive house']",55
Hadise,"['turkish deep house', 'turkish pop']",65
Pegboard Nerds,"['brostep', 'complextro', 'danish electronic', 'edm', 'electro house', 'glitch', 'speedrun']",52
DJ Antoine,"['nordic house', 'pop house']",63
Camden Cox,['stutter house'],56
Fedde Le Grand,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",59
KAAZE,"['big room', 'progressive electro house', 'sky room']",58
HI-LO,"['dutch house', 'electro house', 'house']",58
AC Slater,"['bass house', 'brostep', 'electro house', 'fidget house']",50
Tom Santa,['stutter house'],58
OMNOM,"['bass house', 'tech house']",51
Valentino Khan,"['brostep', 'edm', 'electro house', 'electronic trap', 'moombahton']",52
BKAYE,['stutter house'],50
Foínix,['tropical house'],60
IDRIS,['uk tech house'],55
Kasablanca,['melodic house'],51
NSH,"['chill house', 'orebro indie', 'tropical house']",59
MOGUAI,"['dutch house', 'edm', 'electro house', 'german techno', 'progressive electro house', 'progressive house']",57
Mr. Oizo,['filter house'],53
Riva Starr,"['deep house', 'house', 'tech house']",55
Culture Beat,"['eurodance', 'europop', 'german techno', 'hip house']",60
Green Velvet,"['deep disco house', 'house', 'minimal techno', 'tech house']",54
Mark Knight,"['house', 'progressive house', 'tech house', 'uk house']",56
Nate VanDeusen,"['chill house', 'tropical house']",59
WEISS,"['house', 'tech house', 'uk dance', 'uk house']",57
Habstrakt,"['bass house', 'dubstep', 'electro house', 'electronic trap', 'filthstep']",50
Brooks,"['dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']",56
Rootkit,"['chillstep', 'complextro', 'electro house', 'gaming edm', 'melodic dubstep']",49
Cassian,['melodic house'],56
Ilkay Sencan,"['turkish deep house', 'turkish edm']",59
Tep No,"['deep tropical house', 'indie poptimism', 'tropical house']",51
Guz,['tech house'],51
Mahmut Orhan,"['turkish deep house', 'turkish edm']",60
Just A Gent,"['aussietronica', 'electro house', 'electronic trap', 'future bass', 'vapor twitch']",48
Joy Orbison,"['electronica', 'float house', 'future garage', 'uk bass']",54
Franky Rizardo,"['circuit', 'dutch tech house', 'house']",58
Borgeous,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",55
Braaten,['tropical house'],59
NTO,"['deep euro house', 'minimal melodic techno', 'new french touch']",60
VisionV,['stutter house'],55
rayn,"['chill house', 'tropical house']",55
anamē,['melodic house'],54
Syn Cole,"['deep tropical house', 'edm', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']",54
Rob Base & DJ EZ Rock,"['freestyle', 'harlem hip hop', 'hip hop', 'hip house', 'miami bass', 'new jack swing']",47
Jerro,['melodic house'],52
Marten Hørger,"['bass house', 'tech house']",52
Marsh,"['melodic house', 'progressive house']",54
HNNY,"['deep house', 'future garage', 'indie soul', 'swedish electronic', 'swedish house', 'swedish synthpop']",53
Ruffnux,"['chill house', 'tropical house']",54
GENESI,['tech house'],53
Zonderling,"['dutch house', 'electro house', 'progressive electro house', 'progressive house', 'sky room']",57
NERVO,"['australian dance', 'dutch house', 'edm', 'electra', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",54
Joris Voorn,"['dutch tech house', 'minimal techno']",57
Mall Grab,"['aussietronica', 'australian house', 'lo-fi house']",56
TSHA,['uk house'],53
Saco,['tropical house'],58
Ferry Corsten,"['dutch trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",55
Mike Candys,['pop house'],59
Ghastly,"['brostep', 'dubstep', 'electro house']",46
Tensnake,"['deep house', 'german house', 'hamburg electronic', 'house', 'nu disco']",53
le moon,"['chill house', 'tropical house']",53
Guru Josh Project,"['acid house', 'pop house']",60
Autograf,"['deep tropical house', 'pop edm', 'vapor soul', 'vapor twitch']",49
Deborah Cox,"['canadian pop', 'contemporary r&b', 'r&b', 'urban contemporary', 'vocal house']",51
Tobÿ,"['chill house', 'saxophone house', 'tropical house']",55
2 Unlimited,"['eurodance', 'europop', 'hip house']",57
Matisse & Sadko,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'russian edm', 'sky room']",53
JADED,"['tech house', 'uk dance']",54
Taiki Nulight,"['bass house', 'doujin']",50
Mike Williams,"['big room', 'dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']",56
CID,"['bass house', 'deep groove house', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tech house', 'uk dance']",50
Ehrling,"['saxophone house', 'tropical house']",56
Starjunk 95,['rally house'],48
Chris Stussy,['dutch tech house'],57
Quintino,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",55
Samuel Miller,['chill house'],55
Shoby,['tropical house'],58
fwd/slash,['chill house'],54
Jane Good,"['chill house', 'tropical house']",58
Polar Inc.,['melodic house'],50
Karen Harding,"['house', 'pop dance', 'uk dance']",57
MAKJ,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'sky room']",53
OFFAIAH,"['deep groove house', 'house', 'tech house']",52
Massane,"['melodic house', 'organic house']",52
Chico Rose,['slap house'],57
Merk & Kremont,"['dutch house', 'electro house', 'progressive electro house', 'sky room']",58
JOYRYDE,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap']",49
summer sax,['saxophone house'],58
Skepsis,"['bass house', 'bassline', 'old school bassline']",59
Steve Void,"['pop edm', 'slap house']",55
Shimza,['south african house'],54
Nic Fanciulli,"['deep disco house', 'house', 'minimal techno', 'tech house', 'tribal house']",54
Birdy Nam Nam,"['filter house', 'turntablism']",50
Loleatta Holloway,"['disco', 'diva house', 'philly soul', 'post-disco']",48
Buray,"['turkish deep house', 'turkish pop']",62
Jerome,"['german house', 'hypertechno']",60
DJ Seinfeld,['lo-fi house'],54
Ookay,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap']",47
Cult Member,"['canadian house', 'dreampunk']",49
Cupido,['chill house'],59
Eirik Næss,['tropical house'],58
Sum Wave,"['beach house', 'swedish tropical house']",55
Carston,['tropical house'],58
Rosie Gaines,"['diva house', 'speed garage']",47
The Deli,"['chillhop', 'lo-fi beats', 'lo-fi house']",49
Ferreck Dawn,"['deep groove house', 'house', 'tech house']",54
Shift K3Y,"['house', 'uk dance']",54
Kyle Watson,"['bass house', 'fidget house', 'house', 'tech house']",50
Klur,['melodic house'],50
Solardo,"['house', 'tech house', 'uk dance']",55
EDX,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'swiss pop']",53
James Mac,['melodic house'],57
Marky Mark And The Funky Bunch,['hip house'],47
Sole Sole,"['chill house', 'tropical house']",53
Kidnap,"['future garage', 'melodic house']",52
Chris Avantgarde,['melodic house'],56
Example,"['hip house', 'uk dance']",58
The Adventures Of Stevie V,"['classic house', 'hip house']",54
Vall,['melodic house'],57
Cristoph,"['house', 'melodic house', 'progressive house']",55
NOTION,"['bass house', 'bassline', 'old school bassline']",54
Boombox Cartel,"['brostep', 'electro house', 'electronic trap']",46
Jordan Grace,['tropical house'],56
NITTI,"['brostep', 'electro house', 'electronic trap']",48
Opus III,"['ambient house', 'dream trance', 'hardcore techno', 'hip house']",52
Feenixpawl,"['australian dance', 'pop edm', 'progressive electro house', 'sky room']",51
Melosense,['melodic house'],49
Paul Woolford,"['house', 'uk dance', 'uk house']",54
Black Box,"['diva house', 'hip house', 'italo house']",53
gardenstate,['melodic house'],53
MATVEÏ,['rally house'],51
Joshwa,"['tech house', 'uk tech house']",53
CeCe Peniston,['diva house'],52
Borgore,"['brostep', 'classic dubstep', 'dubstep', 'edm', 'electro house']",49
