name,genres,popularity
The 1975,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']",78
Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",76
David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",78
The Cure,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",78
MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",75
Kings of Leon,"['modern rock', 'rock']",78
Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']",71
Bon Jovi,"['glam metal', 'rock']",80
Disturbed,"['alternative metal', 'nu metal', 'rap metal', 'rock']",78
Lynyrd Skynyrd,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",74
Pearl Jam,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'permanent wave', 'rock']",76
Willie Nelson,"['classic country pop', 'classic texas country', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter']",73
Dylan Scott,"['contemporary country', 'country road', 'modern country rock']",72
Vance Joy,"['folk-pop', 'modern rock']",77
The Police,"['album rock', 'classic rock', 'permanent wave', 'rock']",78
Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",73
Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",77
Skillet,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']",75
Bee Gees,"['disco', 'mellow gold', 'soft rock']",78
Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']",71
Richy Mitch & The Coal Miners,['modern folk rock'],74
Måneskin,"['indie rock italiano', 'italian pop']",81
The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",74
The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",76
Seether,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']",71
Papa Roach,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']",74
Beach House,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']",74
Foster The People,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",75
U2,"['irish rock', 'permanent wave', 'rock']",78
The Beach Boys,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",73
Jimmy Buffett,['trop rock'],69
Phil Collins,"['rock drums', 'soft rock']",78
"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",69
Mother Mother,"['canadian indie rock', 'pov: indie', 'vancouver indie']",74
Stick Figure,"['reggae fusion', 'reggae rock']",70
Maná,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",79
Tom Petty and the Heartbreakers,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",70
3 Doors Down,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",72
Royel Otis,['australian indie rock'],73
The Script,"['celtic rock', 'pop']",78
Electric Light Orchestra,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",73
TOTO,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",77
Muse,"['alternative rock', 'modern rock', 'permanent wave', 'rock']",77
Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']",70
Rammstein,"['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']",80
Black Sabbath,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",74
TOOL,"['alternative metal', 'art rock', 'nu metal', 'post-grunge', 'progressive metal', 'progressive rock', 'rock']",71
Ghost,"['hard rock', 'metal']",74
Ozzy Osbourne,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",72
Jim Croce,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",71
Tom Petty,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",70
Incubus,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'post-grunge', 'rock']",71
Mötley Crüe,"['album rock', 'alternative metal', 'glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']",72
Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",74
Bob Seger,"['album rock', 'classic rock', 'country rock', 'detroit rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",70
Prince,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']",72
Tears For Fears,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",75
Big Thief,"['art pop', 'brooklyn indie', 'chamber pop', 'countrygaze', 'indie pop', 'indie rock', 'pov: indie', 'small room']",71
The Fray,"['neo mellow', 'piano rock', 'pop', 'pop rock']",73
The Doors,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",75
Simon & Garfunkel,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",74
Lauren Daigle,"['ccm', 'christian alternative rock', 'christian music']",70
Bastille,"['metropopolis', 'modern rock', 'pop']",75
Rob Zombie,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",70
Brantley Gilbert,"['contemporary country', 'country', 'country road', 'modern country rock']",67
Pantera,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'texas metal']",72
Grateful Dead,"['cosmic american', 'jam band', 'psychedelic rock']",67
Beastie Boys,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']",70
Sum 41,"['alternative metal', 'canadian pop punk', 'canadian punk', 'modern rock', 'pop punk', 'post-grunge', 'punk', 'rock']",74
Rise Against,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']",72
ZZ Top,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'rock']",72
All Time Low,"['modern rock', 'neon pop punk', 'pop punk']",71
The White Stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",72
Mumford & Sons,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",73
Steve Miller Band,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",69
Def Leppard,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']",71
Whiskey Myers,"['classic texas country', 'modern southern rock']",67
